UserID_Day_Month_Hour,Target
User2910_Wed_3_18,0
User2784_Wed_3_12,1
User2290_Wed_3_6,1
User1720_Wed_3_6,1
User226_Wed_3_0,1
User4630_Wed_3_6,1
User6067_Wed_3_12,0
User735_Wed_3_0,0
User3318_Wed_3_6,0
User4322_Wed_3_18,0
User955_Wed_3_6,0
User6184_Wed_3_0,0
User1924_Wed_3_0,0
User3203_Wed_3_12,1
User642_Wed_3_0,1
User3279_Wed_3_0,0
User2402_Wed_3_6,1
User3465_Wed_3_12,0
User2961_Wed_3_12,1
User4706_Wed_3_12,1
User5884_Wed_3_0,1
User1565_Wed_3_18,0
User6601_Wed_3_0,1
User2167_Wed_3_6,0
User1125_Wed_3_6,1
User2125_Wed_3_12,1
User917_Wed_3_0,0
User3373_Wed_3_12,0
User2390_Wed_3_6,1
User5612_Wed_3_18,0
User5231_Wed_3_6,1
User1610_Wed_3_6,1
User4507_Wed_3_12,0
User4380_Wed_3_18,1
User605_Wed_3_12,0
User2282_Wed_3_12,0
User4608_Wed_3_12,0
User2526_Wed_3_18,1
User1258_Wed_3_6,1
User479_Wed_3_6,0
User2168_Wed_3_12,1
User5398_Wed_3_18,1
User2017_Wed_3_6,1
User298_Wed_3_6,0
User1997_Wed_3_12,1
User998_Wed_3_0,1
User6288_Wed_3_0,1
User5990_Wed_3_18,0
User2767_Wed_3_12,1
User796_Wed_3_18,0
User981_Wed_3_18,1
User6363_Wed_3_18,0
User74_Wed_3_12,0
User5743_Wed_3_0,1
User4886_Wed_3_12,0
User4167_Wed_3_0,0
User2477_Wed_3_12,1
User398_Wed_3_18,1
User4653_Wed_3_18,1
User1782_Wed_3_18,1
User478_Wed_3_0,0
User95_Wed_3_6,0
User2150_Wed_3_18,0
User1840_Wed_3_12,1
User2445_Wed_3_12,1
User3839_Wed_3_6,0
User4879_Wed_3_18,1
User2456_Wed_3_12,0
User2287_Wed_3_12,0
User5860_Wed_3_0,1
User5894_Wed_3_0,1
User60_Wed_3_6,1
User3110_Wed_3_18,1
User3810_Wed_3_18,0
User2140_Wed_3_18,0
User2775_Wed_3_12,1
User5752_Wed_3_12,0
User564_Wed_3_12,1
User4945_Wed_3_18,1
User1445_Wed_3_6,0
User6437_Wed_3_18,0
User3494_Wed_3_6,1
User6646_Wed_3_12,0
User2366_Wed_3_0,1
User3767_Wed_3_0,0
User5205_Wed_3_0,0
User6569_Wed_3_6,1
User3591_Wed_3_12,1
User3574_Wed_3_12,1
User4439_Wed_3_6,0
User498_Wed_3_0,1
User2589_Wed_3_18,0
User2184_Wed_3_18,1
User4273_Wed_3_6,1
User1492_Wed_3_0,0
User6244_Wed_3_6,0
User2967_Wed_3_6,0
User1593_Wed_3_6,1
User1501_Wed_3_18,0
User1282_Wed_3_18,1
User3621_Wed_3_12,0
User3500_Wed_3_18,1
User68_Wed_3_12,0
User1707_Wed_3_12,1
